Species,Sign,Reaction,Rate_Expression,,species_name,leading_sign,expression,,,,,,,,,,,,,,
AB42_Oligomer13,-,AB42_Oligomer13_to_plaque,k_O13_Plaque_fortytwo*AB42_Oligomer13*AB42_Monomer*VIS_brain,,AB42_Oligomer13,+,k_O14_O13_fortytwo * AB42_Oligomer14,,,,,,,,,,,,,,
AB42_Oligomer13,-,AB42_Oligomer13_antibody_binding,fta1*AB42_Oligomer13*Ab_t*VIS_brain,,AB42_Oligomer13,+,k_O12_O13_fortytwo * AB42_Plaque_Driven_Monomer_Addition_Vmax * AB42_Monomer * AB42_Oligomer12 * (AB42_Plaque_unbound / (AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50)),,,,,,,,,,,,,,
AB42_Oligomer13,-,AB42_Oligomer13_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Oligomer13*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB42)*VIS_brain,,AB42_Oligomer13,-,(fta1 * Antibody_unbound_ISF * AB42_Oligomer13),,,,,,,,,,,,,,
AB42_Oligomer13,-,AB42_Oligomer14_formation,k_O13_O14_fortytwo*AB42_Oligomer13*AB42_Monomer*VIS_brain,,AB42_Oligomer13,-,(AB42_Oligomer13 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB42)),,,,,,,,,,,,,,
AB42_Oligomer13,+,AB42_Oligomer14_dissociation,k_O14_O13_fortytwo*AB42_Oligomer14*VIS_brain,,AB42_Oligomer13,-,(k_O13_O14_fortytwo * AB42_Plaque_Driven_Monomer_Addition_Vmax * AB42_Monomer * AB42_Oligomer13 * (AB42_Plaque_unbound / (AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB42_Oligomer13,-,AB42_plaque_oligomer14_formation,k_O13_O14_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer13*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Oligomer13,-,(K_O13_Plaque_fortytwo * AB42_Oligomer13 * AB42_Monomer),,,,,,,,,,,,,,
AB42_Oligomer13,-,AB42_Oligomer13_to_PVS,(1 - sigma_ISF_ABeta42_oligomer13)*Q_PVS*AB42_Oligomer13,,AB42_Oligomer13,-,((1 - sigma_ISF_ABeta42_oligomer013) * Q_PVS * AB42_Oligomer13 / vol_brain_ISF),,,,,,,,,,,,,,
AB42_Oligomer13_Antibody_bound,+,AB42_Oligomer13_antibody_binding,fta1*AB42_Oligomer13*Ab_t*VIS_brain,,AB42_Oligomer13_Antibody_bound,-,(AB42_Oligomer13_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB42_Oligomer13_Antibody_bound,-,AB42_Oligomer13_Antibody_bound_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Oligomer13_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB42_Oligomer13_Antibody_bound,+,fta1 * Antibody_unbound_ISF * AB42_Oligomer13,,,,,,,,,,,,,,
AB42_Oligomer13_PVS,+,AB42_Oligomer13_to_PVS,(1 - sigma_ISF_ABeta42_oligomer13)*Q_PVS*AB42_Oligomer13,,AB42_Oligomer13_PVS,-,(fta1 * C_Antibody_unbound_PVS * AB42_Oligomer13_PVS),,,,,,,,,,,,,,
AB42_Oligomer13_PVS,-,AB42_Oligomer13_PVS_binding,fta1*AB42_Oligomer13_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Oligomer13_PVS,+,(1 - sigma_ISF_ABeta42_oligomer013) * Q_PVS * AB42_Oligomer13 / V_PVS,,,,,,,,,,,,,,
AB42_Oligomer13_PVS,-,AB42_Oligomer13_PVS_clearance,(1 - sigma_PVS_AB42)*Q_PVS*AB42_Oligomer13_PVS,,AB42_Oligomer13_PVS,-,((1 - sigma_PVS_ABeta42) * Q_PVS * AB42_Oligomer13_PVS / V_PVS),,,,,,,,,,,,,,
AB42_Oligomer13_PVS_bound,+,AB42_Oligomer13_PVS_binding,fta1*AB42_Oligomer13_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Oligomer13_PVS_bound,+,fta1 * C_Antibody_unbound_PVS * AB42_Oligomer13_PVS,,,,,,,,,,,,,,
AB42_Oligomer13_PVS_bound,-,AB42_Oligomer13_PVS_bound_clearance,(1 - sigma_PVS_AB42_bound)*Q_PVS*AB42_Oligomer13_PVS_bound,,AB42_Oligomer13_PVS_bound,-,((1 - sigma_PVS_ABeta42_bound) * Q_PVS * AB42_Oligomer13_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB42_Oligomer14,+,AB42_Oligomer14_formation,k_O13_O14_fortytwo*AB42_Oligomer13*AB42_Monomer*VIS_brain,,AB42_Oligomer14,+,k_O13_O14_fortytwo * AB42_Monomer * AB42_Oligomer13,,,,,,,,,,,,,,
AB42_Oligomer14,-,AB42_Oligomer14_dissociation,k_O14_O13_fortytwo*AB42_Oligomer14*VIS_brain,,AB42_Oligomer14,-,(k_O14_O13_fortytwo * AB42_Oligomer14),,,,,,,,,,,,,,
AB42_Oligomer14,+,AB42_plaque_oligomer14_formation,k_O13_O14_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer13*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Oligomer14,-,(k_O14_O15_fortytwo * AB42_Monomer * AB42_Oligomer14),,,,,,,,,,,,,,
AB42_Oligomer14,-,AB42_Oligomer14_to_plaque,k_O14_Plaque_fortytwo*AB42_Oligomer14*AB42_Monomer*VIS_brain,,AB42_Oligomer14,+,k_O15_O14_fortytwo * AB42_Oligomer15,,,,,,,,,,,,,,
AB42_Oligomer14,-,AB42_Oligomer14_antibody_binding,fta1*AB42_Oligomer14*Ab_t*VIS_brain,,AB42_Oligomer14,+,k_O13_O14_fortytwo * AB42_Plaque_Driven_Monomer_Addition_Vmax * AB42_Monomer * AB42_Oligomer13 * (AB42_Plaque_unbound / (AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50)),,,,,,,,,,,,,,
AB42_Oligomer14,-,AB42_Oligomer14_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Oligomer14*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB42)*VIS_brain,,AB42_Oligomer14,-,(fta1 * Antibody_unbound_ISF * AB42_Oligomer14),,,,,,,,,,,,,,
AB42_Oligomer14,-,AB42_Oligomer15_formation,k_O14_O15_fortytwo*AB42_Oligomer14*AB42_Monomer*VIS_brain,,AB42_Oligomer14,-,(AB42_Oligomer14 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB42)),,,,,,,,,,,,,,
AB42_Oligomer14,+,AB42_Oligomer15_dissociation,k_O15_O14_fortytwo*AB42_Oligomer15*VIS_brain,,AB42_Oligomer14,-,(k_O14_O15_fortytwo * AB42_Plaque_Driven_Monomer_Addition_Vmax * AB42_Monomer * AB42_Oligomer14 * (AB42_Plaque_unbound / (AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB42_Oligomer14,-,AB42_plaque_oligomer15_formation,k_O14_O15_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer14*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Oligomer14,-,(K_O14_Plaque_fortytwo * AB42_Oligomer14 * AB42_Monomer),,,,,,,,,,,,,,
AB42_Oligomer14,-,AB42_Oligomer14_to_PVS,(1 - sigma_ISF_ABeta42_oligomer14)*Q_PVS*AB42_Oligomer14,,AB42_Oligomer14,-,((1 - sigma_ISF_ABeta42_oligomer014) * Q_PVS * AB42_Oligomer14 / vol_brain_ISF),,,,,,,,,,,,,,
AB42_Oligomer14_Antibody_bound,+,AB42_Oligomer14_antibody_binding,fta1*AB42_Oligomer14*Ab_t*VIS_brain,,AB42_Oligomer14_Antibody_bound,-,(AB42_Oligomer14_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB42_Oligomer14_Antibody_bound,-,AB42_Oligomer14_Antibody_bound_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Oligomer14_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB42_Oligomer14_Antibody_bound,+,fta1 * Antibody_unbound_ISF * AB42_Oligomer14,,,,,,,,,,,,,,
AB42_Oligomer14_PVS,+,AB42_Oligomer14_to_PVS,(1 - sigma_ISF_ABeta42_oligomer14)*Q_PVS*AB42_Oligomer14,,AB42_Oligomer14_PVS,-,(fta1 * C_Antibody_unbound_PVS * AB42_Oligomer14_PVS),,,,,,,,,,,,,,
AB42_Oligomer14_PVS,-,AB42_Oligomer14_PVS_binding,fta1*AB42_Oligomer14_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Oligomer14_PVS,+,(1 - sigma_ISF_ABeta42_oligomer014) * Q_PVS * AB42_Oligomer14 / V_PVS,,,,,,,,,,,,,,
AB42_Oligomer14_PVS,-,AB42_Oligomer14_PVS_clearance,(1 - sigma_PVS_AB42)*Q_PVS*AB42_Oligomer14_PVS,,AB42_Oligomer14_PVS,-,((1 - sigma_PVS_ABeta42) * Q_PVS * AB42_Oligomer14_PVS / V_PVS),,,,,,,,,,,,,,
AB42_Oligomer14_PVS_bound,+,AB42_Oligomer14_PVS_binding,fta1*AB42_Oligomer14_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Oligomer14_PVS_bound,+,fta1 * C_Antibody_unbound_PVS * AB42_Oligomer14_PVS,,,,,,,,,,,,,,
AB42_Oligomer14_PVS_bound,-,AB42_Oligomer14_PVS_bound_clearance,(1 - sigma_PVS_AB42_bound)*Q_PVS*AB42_Oligomer14_PVS_bound,,AB42_Oligomer14_PVS_bound,-,((1 - sigma_PVS_ABeta42_bound) * Q_PVS * AB42_Oligomer14_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB42_Oligomer15,+,AB42_Oligomer15_formation,k_O14_O15_fortytwo*AB42_Oligomer14*AB42_Monomer*VIS_brain,,AB42_Oligomer15,+,k_O14_O15_fortytwo * AB42_Monomer * AB42_Oligomer14,,,,,,,,,,,,,,
AB42_Oligomer15,-,AB42_Oligomer15_dissociation,k_O15_O14_fortytwo*AB42_Oligomer15*VIS_brain,,AB42_Oligomer15,-,(k_O15_O14_fortytwo * AB42_Oligomer15),,,,,,,,,,,,,,
AB42_Oligomer15,+,AB42_plaque_oligomer15_formation,k_O14_O15_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer14*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Oligomer15,-,(k_O15_O16_fortytwo * AB42_Monomer * AB42_Oligomer15),,,,,,,,,,,,,,
AB42_Oligomer15,-,AB42_Oligomer15_to_plaque,k_O15_Plaque_fortytwo*AB42_Oligomer15*AB42_Monomer*VIS_brain,,AB42_Oligomer15,+,k_O16_O15_fortytwo * AB42_Oligomer16,,,,,,,,,,,,,,
AB42_Oligomer15,-,AB42_Oligomer15_antibody_binding,fta1*AB42_Oligomer15*Ab_t*VIS_brain,,AB42_Oligomer15,+,k_O14_O15_fortytwo * AB42_Plaque_Driven_Monomer_Addition_Vmax * AB42_Monomer * AB42_Oligomer14 * (AB42_Plaque_unbound / (AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50)),,,,,,,,,,,,,,
AB42_Oligomer15,-,AB42_Oligomer15_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Oligomer15*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB42)*VIS_brain,,AB42_Oligomer15,-,(fta1 * Antibody_unbound_ISF * AB42_Oligomer15),,,,,,,,,,,,,,
AB42_Oligomer15,-,AB42_Oligomer16_formation,k_O15_O16_fortytwo*AB42_Oligomer15*AB42_Monomer*VIS_brain,,AB42_Oligomer15,-,(AB42_Oligomer15 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB42)),,,,,,,,,,,,,,
AB42_Oligomer15,+,AB42_Oligomer16_dissociation,k_O16_O15_fortytwo*AB42_Oligomer16*VIS_brain,,AB42_Oligomer15,-,(k_O15_O16_fortytwo * AB42_Plaque_Driven_Monomer_Addition_Vmax * AB42_Monomer * AB42_Oligomer15 * (AB42_Plaque_unbound / (AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB42_Oligomer15,-,AB42_plaque_oligomer16_formation,k_O15_O16_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer15*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Oligomer15,-,(K_O15_Plaque_fortytwo * AB42_Oligomer15 * AB42_Monomer),,,,,,,,,,,,,,
AB42_Oligomer15,-,AB42_Oligomer15_to_PVS,(1 - sigma_ISF_ABeta42_oligomer15)*Q_PVS*AB42_Oligomer15,,AB42_Oligomer15,-,((1 - sigma_ISF_ABeta42_oligomer015) * Q_PVS * AB42_Oligomer15 / vol_brain_ISF),,,,,,,,,,,,,,
AB42_Oligomer15_Antibody_bound,+,AB42_Oligomer15_antibody_binding,fta1*AB42_Oligomer15*Ab_t*VIS_brain,,AB42_Oligomer15_Antibody_bound,-,(AB42_Oligomer15_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB42_Oligomer15_Antibody_bound,-,AB42_Oligomer15_Antibody_bound_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Oligomer15_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB42_Oligomer15_Antibody_bound,+,fta1 * Antibody_unbound_ISF * AB42_Oligomer15,,,,,,,,,,,,,,
AB42_Oligomer15_PVS,+,AB42_Oligomer15_to_PVS,(1 - sigma_ISF_ABeta42_oligomer15)*Q_PVS*AB42_Oligomer15,,AB42_Oligomer15_PVS,-,(fta1 * C_Antibody_unbound_PVS * AB42_Oligomer15_PVS),,,,,,,,,,,,,,
AB42_Oligomer15_PVS,-,AB42_Oligomer15_PVS_binding,fta1*AB42_Oligomer15_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Oligomer15_PVS,+,(1 - sigma_ISF_ABeta42_oligomer015) * Q_PVS * AB42_Oligomer15 / V_PVS,,,,,,,,,,,,,,
AB42_Oligomer15_PVS,-,AB42_Oligomer15_PVS_clearance,(1 - sigma_PVS_AB42)*Q_PVS*AB42_Oligomer15_PVS,,AB42_Oligomer15_PVS,-,((1 - sigma_PVS_ABeta42) * Q_PVS * AB42_Oligomer15_PVS / V_PVS),,,,,,,,,,,,,,
AB42_Oligomer15_PVS_bound,+,AB42_Oligomer15_PVS_binding,fta1*AB42_Oligomer15_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Oligomer15_PVS_bound,+,fta1 * C_Antibody_unbound_PVS * AB42_Oligomer15_PVS,,,,,,,,,,,,,,
AB42_Oligomer15_PVS_bound,-,AB42_Oligomer15_PVS_bound_clearance,(1 - sigma_PVS_AB42_bound)*Q_PVS*AB42_Oligomer15_PVS_bound,,AB42_Oligomer15_PVS_bound,-,((1 - sigma_PVS_ABeta42_bound) * Q_PVS * AB42_Oligomer15_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB42_Oligomer16,+,AB42_Oligomer16_formation,k_O15_O16_fortytwo*AB42_Oligomer15*AB42_Monomer*VIS_brain,,AB42_Oligomer16,+,k_F17_O16_fortytwo * AB42_Fibril17,,,,,,,,,,,,,,
AB42_Oligomer16,-,AB42_Oligomer16_dissociation,k_O16_O15_fortytwo*AB42_Oligomer16*VIS_brain,,AB42_Oligomer16,+,k_O15_O16_fortytwo * AB42_Monomer * AB42_Oligomer15,,,,,,,,,,,,,,
AB42_Oligomer16,+,AB42_plaque_oligomer16_formation,k_O15_O16_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Oligomer15*AB42_Monomer*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Oligomer16,-,(k_O16_O15_fortytwo * AB42_Oligomer16),,,,,,,,,,,,,,
AB42_Oligomer16,-,AB42_Oligomer16_to_plaque,k_O16_Plaque_fortytwo*AB42_Oligomer16*AB42_Monomer*VIS_brain,,AB42_Oligomer16,-,(k_O16_F17_fortytwo * AB42_Monomer * AB42_Oligomer16),,,,,,,,,,,,,,
AB42_Oligomer16,-,AB42_Oligomer16_antibody_binding,fta1*AB42_Oligomer16*Ab_t*VIS_brain,,AB42_Oligomer16,+,k_O15_O16_fortytwo * AB42_Plaque_Driven_Monomer_Addition_Vmax * AB42_Monomer * AB42_Oligomer15 * (AB42_Plaque_unbound / (AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50)),,,,,,,,,,,,,,
AB42_Oligomer16,-,AB42_Oligomer16_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Oligomer16*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB42)*VIS_brain,,AB42_Oligomer16,-,(fta1 * Antibody_unbound_ISF * AB42_Oligomer16),,,,,,,,,,,,,,
AB42_Oligomer16,-,AB42_Fibril17_formation_from_oligomer,k_O16_F17_fortytwo*AB42_Oligomer16*AB42_Monomer*VIS_brain,,AB42_Oligomer16,-,(k_O16_F17_fortytwo * AB42_Plaque_Driven_Monomer_Addition_Vmax * AB42_Monomer * AB42_Oligomer16 * (AB42_Plaque_unbound / (AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB42_Oligomer16,+,AB42_Fibril17_dissociation_to_oligomer,k_F17_O16_fortytwo*AB42_Fibril17*VIS_brain,,AB42_Oligomer16,-,(AB42_Oligomer16 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB42)),,,,,,,,,,,,,,
AB42_Oligomer16,-,AB42_Fibril17_plaque_driven_formation,k_O16_F17_fortytwo*AB42_Plaque_Driven_Monomer_Addition_Vmax*AB42_Monomer*AB42_Oligomer16*(AB42_Plaque_unbound/(AB42_Plaque_unbound + AB42_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB42_Oligomer16,-,(K_O16_Plaque_fortytwo * AB42_Oligomer16 * AB42_Monomer),,,,,,,,,,,,,,
AB42_Oligomer16,-,AB42_Oligomer16_to_PVS,(1 - sigma_ISF_ABeta42_oligomer16)*Q_PVS*AB42_Oligomer16,,AB42_Oligomer16,-,((1 - sigma_ISF_ABeta42_oligomer016) * Q_PVS * AB42_Oligomer16 / vol_brain_ISF),,,,,,,,,,,,,,
AB42_Oligomer16_Antibody_bound,+,AB42_Oligomer16_antibody_binding,fta1*AB42_Oligomer16*Ab_t*VIS_brain,,AB42_Oligomer16_Antibody_bound,-,(AB42_Oligomer16_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB42_Oligomer16_Antibody_bound,-,AB42_Oligomer16_Antibody_bound_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Oligomer16_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB42_Oligomer16_Antibody_bound,+,fta1 * Antibody_unbound_ISF * AB42_Oligomer16,,,,,,,,,,,,,,
AB42_Oligomer16_PVS,+,AB42_Oligomer16_to_PVS,(1 - sigma_ISF_ABeta42_oligomer16)*Q_PVS*AB42_Oligomer16,,AB42_Oligomer16_PVS,-,(fta1 * C_Antibody_unbound_PVS * AB42_Oligomer16_PVS),,,,,,,,,,,,,,
AB42_Oligomer16_PVS,-,AB42_Oligomer16_PVS_binding,fta1*AB42_Oligomer16_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Oligomer16_PVS,+,(1 - sigma_ISF_ABeta42_oligomer016) * Q_PVS * AB42_Oligomer16 / V_PVS,,,,,,,,,,,,,,
AB42_Oligomer16_PVS,-,AB42_Oligomer16_PVS_clearance,(1 - sigma_PVS_AB42)*Q_PVS*AB42_Oligomer16_PVS,,AB42_Oligomer16_PVS,-,((1 - sigma_PVS_ABeta42) * Q_PVS * AB42_Oligomer16_PVS / V_PVS),,,,,,,,,,,,,,
AB42_Oligomer16_PVS_bound,+,AB42_Oligomer16_PVS_binding,fta1*AB42_Oligomer16_PVS*C_Antibody_unbound_PVS*V_PVS,,AB42_Oligomer16_PVS_bound,+,fta1 * C_Antibody_unbound_PVS * AB42_Oligomer16_PVS,,,,,,,,,,,,,,
AB42_Oligomer16_PVS_bound,-,AB42_Oligomer16_PVS_bound_clearance,(1 - sigma_PVS_AB42_bound)*Q_PVS*AB42_Oligomer16_PVS_bound,,AB42_Oligomer16_PVS_bound,-,((1 - sigma_PVS_ABeta42_bound) * Q_PVS * AB42_Oligomer16_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB42_Plaque_Antibody_bound,+,AB42_antibody_plaque_binding,fta3*AB42_Plaque_unbound*Ab_t*VIS_brain,,AB42_Plaque_Antibody_bound,-,(0.5 * AB42_Plaque_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB42_Plaque_Antibody_bound,-,AB42_Plaque_Antibody_bound_microglia_clearance,Microglia_Vmax_fortytwo*AB42_Plaque_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB42_Plaque_Antibody_bound,+,fta3 * Antibody_unbound_ISF * AB42_Plaque_unbound,,,,,,,,,,,,,,
AB42_Plaque_bound_PVS,+,AB42_Plaque_binding,fta3*AB42_Plaque_unbound_PVS*C_Antibody_unbound_PVS*V_PVS,,Abeta42_plaque_bound_PVS,+,fta3 * C_Antibody_unbound_PVS * Abeta42_plaque_unbound_PVS,,,,,,,,,,,,,,
AB42_Plaque_bound_PVS,-,AB42_Plaque_bound_clearance,CL_AB42_plaque_bound_PVS*AB42_Plaque_bound_PVS,,Abeta42_plaque_bound_PVS,-,(CL_abeta42_plaque_bound_PVS * Abeta42_plaque_bound_PVS),,,,,,,,,,,,,,
AB42_Plaque_unbound,+,AB42_Oligomer13_to_plaque,k_O13_Plaque_fortytwo*AB42_Oligomer13*AB42_Monomer*VIS_brain,,AB42_Plaque_unbound,+,K_F17_Plaque_fortytwo * AB42_Fibril17 * AB42_Monomer,,,,,,,,,,,,,,
AB42_Plaque_unbound,+,AB42_Oligomer14_to_plaque,k_O14_Plaque_fortytwo*AB42_Oligomer14*AB42_Monomer*VIS_brain,,AB42_Plaque_unbound,+,K_F18_Plaque_fortytwo * AB42_Fibril18 * AB42_Monomer,,,,,,,,,,,,,,
AB42_Plaque_unbound,+,AB42_Oligomer15_to_plaque,k_O15_Plaque_fortytwo*AB42_Oligomer15*AB42_Monomer*VIS_brain,,AB42_Plaque_unbound,+,K_O13_Plaque_fortytwo * AB42_Oligomer13 * AB42_Monomer,,,,,,,,,,,,,,
AB42_Plaque_unbound,+,AB42_Oligomer16_to_plaque,k_O16_Plaque_fortytwo*AB42_Oligomer16*AB42_Monomer*VIS_brain,,AB42_Plaque_unbound,+,K_O14_Plaque_fortytwo * AB42_Oligomer14 * AB42_Monomer,,,,,,,,,,,,,,
AB42_Plaque_unbound,+,AB42_Plaque_formation_from_Fibril17,k_F17_Plaque_fortytwo*AB42_Fibril17*AB42_Monomer*VIS_brain,,AB42_Plaque_unbound,+,K_O15_Plaque_fortytwo * AB42_Oligomer15 * AB42_Monomer,,,,,,,,,,,,,,
AB42_Plaque_unbound,+,AB42_Plaque_formation_from_Fibril18,k_F18_Plaque_fortytwo*AB42_Fibril18*AB42_Monomer*VIS_brain,,AB42_Plaque_unbound,+,K_O16_Plaque_fortytwo * AB42_Oligomer16 * AB42_Monomer,,,,,,,,,,,,,,
AB42_Plaque_unbound,-,AB42_antibody_plaque_binding,fta3*AB42_Plaque_unbound*Ab_t*VIS_brain,,AB42_Plaque_unbound,-,(fta3 * Antibody_unbound_ISF * AB42_Plaque_unbound),,,,,,,,,,,,,,
AB42_Plaque_unbound,-,AB42_microglia_plaque_clearance,0.5*Microglia_Vmax_fortytwo*AB42_Plaque_unbound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB42)*VIS_brain,,AB42_Plaque_unbound,-,(0.5 * AB42_Plaque_unbound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB42 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB42)),,,,,,,,,,,,,,
AB42_Plaque_unbound_PVS,-,AB42_Plaque_binding,fta3*AB42_Plaque_unbound_PVS*C_Antibody_unbound_PVS*V_PVS,,Abeta42_plaque_unbound_PVS,-,(fta3 * C_Antibody_unbound_PVS * Abeta42_plaque_unbound_PVS),,,,,,,,,,,,,,
AB42_Plaque_unbound_PVS,-,AB42_Plaque_unbound_clearance,CL_AB42_plaque_free_PVS*AB42_Plaque_unbound_PVS,,Abeta42_plaque_unbound_PVS,-,(CL_abeta42_plaque_free_PVS * Abeta42_plaque_unbound_PVS),,,,,,,,,,,,,,
AB42Mb_BBB_Bound,-,ab42mb_bbb_to_brain_plasma,CLup_brain*f_BBB*VES_brain*FR*AB42Mb_BBB_Bound,,AB42Mb_Blood_Brain_Barrier_bound,-,(CL_up_brain * fBBB * Vol_brain_ES * (1 - FR) * AB42Mb_Blood_Brain_Barrier_bound / Vol_brain_BBB),,,,,,,,,,,,,,
AB42Mb_BBB_Bound,+,ab42mb_bbb_unbound_to_bound,kon_FcRn*AB42Mb_BBB_Unbound*FcRn_free_BBB*VBBB_brain,,AB42Mb_Blood_Brain_Barrier_bound,-,(CL_up_brain * fBBB * Vol_brain_ES * FR * AB42Mb_Blood_Brain_Barrier_bound / Vol_brain_BBB),,,,,,,,,,,,,,
